clocks, time, loop_order
1472188, 0.000668, 1
1933, 0.000001, 2
1630, 0.000000, 3
1612, 0.000001, 4
1575, 0.000000, 5
1608, 0.000001, 6
1702, 0.000001, 1
1593, 0.000001, 2
1630, 0.000001, 3
1526, 0.000000, 4
1560, 0.000001, 5
1493, 0.000001, 6
1724, 0.000001, 1
1542, 0.000000, 2
1487, 0.000000, 3
1630, 0.000000, 4
1487, 0.000000, 5
1757, 0.000000, 6
1657, 0.000000, 1
1502, 0.000000, 2
1657, 0.000000, 3
1508, 0.000000, 4
1618, 0.000001, 5
1563, 0.000001, 6
1529, 0.000001, 1
1602, 0.000001, 2
1651, 0.000001, 3
1666, 0.000001, 4
1499, 0.000001, 5
1405, 0.000000, 6
1417, 0.000001, 1
1344, 0.000000, 2
1375, 0.000001, 3
1474, 0.000001, 4
1363, 0.000001, 5
1365, 0.000000, 6
1424, 0.000001, 1
1675, 0.000001, 2
1563, 0.000001, 3
1751, 0.000001, 4
1772, 0.000001, 5
1763, 0.000000, 6
1721, 0.000001, 1
1718, 0.000001, 2
1748, 0.000001, 3
1714, 0.000000, 4
1700, 0.000001, 5
1736, 0.000000, 6
1502, 0.000000, 1
1669, 0.000000, 2
1639, 0.000000, 3
1520, 0.000001, 4
1635, 0.000001, 5
1754, 0.000001, 6
1566, 0.000001, 1
1775, 0.000001, 2
1551, 0.000000, 3
1544, 0.000000, 4
1493, 0.000000, 5
1529, 0.000000, 6
1538, 0.000001, 1
1195, 0.000000, 2
1141, 0.000001, 3
1190, 0.000000, 4
1147, 0.000001, 5
1165, 0.000000, 6
1175, 0.000001, 1
1153, 0.000000, 2
1150, 0.000001, 3
1168, 0.000000, 4
1141, 0.000001, 5
1165, 0.000000, 6
1168, 0.000000, 1
1193, 0.000001, 2
1150, 0.000000, 3
1159, 0.000001, 4
1165, 0.000000, 5
1168, 0.000001, 6
1174, 0.000000, 1
1172, 0.000001, 2
1147, 0.000000, 3
1162, 0.000001, 4
1138, 0.000000, 5
1174, 0.000000, 6
1184, 0.000001, 1
1165, 0.000000, 2
1147, 0.000001, 3
1168, 0.000000, 4
