clocks, time
6163088, 0.002808
6224396, 0.002836
6538162, 0.002978
6271854, 0.002857
10116597, 0.004609
9581590, 0.004366
8008554, 0.003649
6972701, 0.003177
6252910, 0.002849
6508666, 0.002965
6084342, 0.002772
6241306, 0.002843
6060496, 0.002761
6167730, 0.002810
6206064, 0.002827
6064188, 0.002763
6595735, 0.003005
10193595, 0.004644
7878339, 0.003589
6889092, 0.003138
6121194, 0.002788
6256662, 0.002851
6064680, 0.002763
6149014, 0.002801
7589006, 0.003458
10941644, 0.004985
9506641, 0.004331
8026919, 0.003657
7028539, 0.003202
6059236, 0.002761
7007137, 0.003192
7484311, 0.003409
9198813, 0.004190
8056239, 0.003671
7040972, 0.003208
6255878, 0.002850
6068972, 0.002765
6064850, 0.002763
6674094, 0.003041
6061842, 0.002762
6185660, 0.002818
6130294, 0.002793
6060592, 0.002761
6423516, 0.002926
6217516, 0.002833
6064056, 0.002762
8001990, 0.003646
7664821, 0.003492
6609207, 0.003011
6400184, 0.002915
6065892, 0.002764
8241131, 0.003754
10572627, 0.004817
8535088, 0.003888
7269444, 0.003312
6402588, 0.002917
6191608, 0.002821
6065534, 0.002763
6207904, 0.002828
6161228, 0.002807
6559752, 0.002989
6206952, 0.002827
10614115, 0.004836
9309698, 0.004241
8291753, 0.003778
7541021, 0.003436
6551592, 0.002985
6481970, 0.002953
8746988, 0.003985
10027673, 0.004568
8530854, 0.003886
6952638, 0.003167
6629954, 0.003021
7172972, 0.003268
7402080, 0.003372
7358284, 0.003352
6393900, 0.002913
6354068, 0.002895
6242602, 0.002844
6693792, 0.003050
6279724, 0.002861
11025350, 0.005023
8906950, 0.004058
7918684, 0.003608
7468542, 0.003403
6181982, 0.002817
6236288, 0.002841
6482440, 0.002953
6058960, 0.002760
6345924, 0.002891
6063018, 0.002762
6057872, 0.002760
6267302, 0.002856
6061480, 0.002762
6058342, 0.002760
8739957, 0.003982
8233743, 0.003751
8749081, 0.003986
7547035, 0.003439
6798690, 0.003097
6162894, 0.002808
6065508, 0.002763
6610136, 0.003012
6060960, 0.002761
6059878, 0.002761
6486846, 0.002955
6867950, 0.003129
6207788, 0.002828
6216634, 0.002833
6063316, 0.002763
6509622, 0.002966
6159804, 0.002807
6386846, 0.002910
6240930, 0.002843
6073140, 0.002767
6058308, 0.002760
6249450, 0.002847
6166732, 0.002810
6810538, 0.003102
6256638, 0.002851
6058446, 0.002760
6252634, 0.002848
6110534, 0.002784
6203756, 0.002827
7794189, 0.003550
7572603, 0.003450
9184397, 0.004184
7857513, 0.003580
6735395, 0.003069
6065168, 0.002763
6236964, 0.002841
6060388, 0.002761
6060298, 0.002761
6392530, 0.002913
6236576, 0.002841
6064626, 0.002763
6061320, 0.002761
6064660, 0.002763
6062326, 0.002762
6169676, 0.002811
11676328, 0.005319
9529534, 0.004341
8090862, 0.003686
7076919, 0.003224
6710542, 0.003057
6063112, 0.002762
6998122, 0.003189
6064132, 0.002762
6472234, 0.002949
