clocks, time, loop_order
361295930, 0.090322, 1
330472101, 0.082617, 2
342440492, 0.085608, 3
344952973, 0.086237, 4
332926452, 0.083230, 5
335983563, 0.083995, 6
355236582, 0.088808, 1
329098573, 0.082274, 2
341320557, 0.085329, 3
345594594, 0.086398, 4
333087680, 0.083270, 5
336296692, 0.084073, 6
355204708, 0.088800, 1
329148262, 0.082286, 2
341327308, 0.085331, 3
345622966, 0.086404, 4
332946769, 0.083236, 5
336044711, 0.084009, 6
355304978, 0.088825, 1
329101437, 0.082274, 2
341380424, 0.085344, 3
344858227, 0.086214, 4
333216960, 0.083303, 5
336289188, 0.084071, 6
355168394, 0.088791, 1
329147889, 0.082286, 2
341311080, 0.085326, 3
344907923, 0.086226, 4
332898130, 0.083223, 5
336050040, 0.084011, 6
355203461, 0.088800, 1
329099803, 0.082274, 2
341412145, 0.085352, 3
344733037, 0.086182, 4
333070114, 0.083266, 5
335922092, 0.083979, 6
355283015, 0.088820, 1
333140982, 0.083284, 2
342785797, 0.085696, 3
346830283, 0.086706, 4
333058400, 0.083263, 5
335918893, 0.083978, 6
355218360, 0.088804, 1
329191615, 0.082297, 2
341307868, 0.085326, 3
344993787, 0.086247, 4
333383006, 0.083345, 5
335801212, 0.083949, 6
355275129, 0.088817, 1
330229462, 0.082556, 2
341869142, 0.085466, 3
345272034, 0.086316, 4
333467228, 0.083366, 5
335873609, 0.083967, 6
355125757, 0.088780, 1
329205253, 0.082300, 2
341262093, 0.085314, 3
344764422, 0.086189, 4
333311110, 0.083327, 5
335827640, 0.083955, 6
355673517, 0.088917, 1
329417557, 0.082354, 2
341435468, 0.085357, 3
345336031, 0.086333, 4
332978502, 0.083244, 5
335837840, 0.083958, 6
355127545, 0.088780, 1
329194822, 0.082298, 2
341180548, 0.085294, 3
344515099, 0.086128, 4
333200274, 0.083298, 5
335818028, 0.083953, 6
355368896, 0.088841, 1
329213643, 0.082302, 2
342429859, 0.085606, 3
345400597, 0.086348, 4
333084117, 0.083270, 5
335983323, 0.083995, 6
355135680, 0.088782, 1
329233652, 0.082307, 2
341226227, 0.085306, 3
