clocks, time
7983590, 0.003635
6244516, 0.002845
7353956, 0.003350
6329732, 0.002884
6290436, 0.002865
6626042, 0.003019
7470278, 0.003403
8111703, 0.003695
7821787, 0.003563
7197267, 0.003280
6613530, 0.003013
6411562, 0.002921
6391610, 0.002912
6385952, 0.002909
6294946, 0.002868
6340638, 0.002889
6337046, 0.002887
11189354, 0.005097
8968175, 0.004086
7732625, 0.003523
6651996, 0.003030
6174286, 0.002813
6237530, 0.002842
6523322, 0.002972
6484004, 0.002954
9097847, 0.004144
8284227, 0.003774
7405164, 0.003374
8019656, 0.003654
7772066, 0.003541
7097360, 0.003233
7888772, 0.003594
6487546, 0.002956
6921566, 0.003154
6908568, 0.003148
6243082, 0.002844
6243520, 0.002845
6558806, 0.002989
6255740, 0.002850
6093766, 0.002776
6160358, 0.002807
6065926, 0.002763
7391401, 0.003368
10792975, 0.004917
8841157, 0.004028
7414017, 0.003378
6495646, 0.002959
6062092, 0.002762
6147608, 0.002801
6061432, 0.002761
6166028, 0.002809
6065170, 0.002764
6583670, 0.002999
6060820, 0.002761
9124832, 0.004157
7985582, 0.003638
6904348, 0.003146
6228588, 0.002837
6062472, 0.002762
6192016, 0.002821
6327962, 0.002883
6157366, 0.002805
6062354, 0.002762
6451586, 0.002939
6062784, 0.002762
6062012, 0.002762
6162256, 0.002807
6160208, 0.002807
6573910, 0.002995
6222910, 0.002835
6145810, 0.002800
6176500, 0.002814
6228002, 0.002837
6161234, 0.002807
6061334, 0.002761
6159306, 0.002806
10002450, 0.004557
9617563, 0.004381
8056901, 0.003671
6921284, 0.003154
6059852, 0.002761
6159478, 0.002806
6128436, 0.002792
6682259, 0.003045
6059108, 0.002760
6062172, 0.002762
6059374, 0.002761
6059534, 0.002761
6059162, 0.002760
6161586, 0.002807
6058984, 0.002761
6593868, 0.003005
6920066, 0.003152
8940444, 0.004073
7737396, 0.003525
6525223, 0.002973
6060926, 0.002761
6064732, 0.002763
7617544, 0.003470
6324790, 0.002882
