clocks, time, loop_order
46229868, 0.011557, 1
39716366, 0.009929, 2
41249698, 0.010312, 3
42804252, 0.010701, 4
40492575, 0.010123, 5
41423788, 0.010356, 6
42087966, 0.010522, 1
39666711, 0.009917, 2
41203400, 0.010301, 3
42875348, 0.010719, 4
40572745, 0.010143, 5
41540452, 0.010385, 6
42360111, 0.010590, 1
39744966, 0.009936, 2
41056818, 0.010264, 3
42779514, 0.010695, 4
40511874, 0.010128, 5
41418726, 0.010355, 6
42086889, 0.010522, 1
39752357, 0.009938, 2
41054637, 0.010264, 3
42787640, 0.010697, 4
40565785, 0.010141, 5
41417532, 0.010354, 6
42097511, 0.010524, 1
39595862, 0.009899, 2
41129477, 0.010282, 3
42783883, 0.010696, 4
40522406, 0.010131, 5
41413917, 0.010353, 6
42089335, 0.010522, 1
39746286, 0.009937, 2
41057203, 0.010264, 3
42785138, 0.010696, 4
40509862, 0.010127, 5
41539926, 0.010385, 6
42159979, 0.010540, 1
40032305, 0.010008, 2
41344010, 0.010336, 3
42781859, 0.010695, 4
40495468, 0.010124, 5
41417310, 0.010354, 6
42089609, 0.010522, 1
39597360, 0.009899, 2
41057375, 0.010264, 3
42782972, 0.010696, 4
40527760, 0.010132, 5
41423766, 0.010356, 6
42079856, 0.010520, 1
39617502, 0.009904, 2
41049855, 0.010262, 3
42779597, 0.010695, 4
40507132, 0.010127, 5
41411551, 0.010353, 6
42085394, 0.010521, 1
39599037, 0.009900, 2
41059108, 0.010265, 3
42786791, 0.010697, 4
40484157, 0.010121, 5
41424427, 0.010356, 6
42084794, 0.010521, 1
39601511, 0.009900, 2
41057391, 0.010264, 3
42786163, 0.010697, 4
40506526, 0.010127, 5
41448837, 0.010362, 6
42087720, 0.010522, 1
39601418, 0.009900, 2
41055218, 0.010264, 3
42787357, 0.010697, 4
40498422, 0.010125, 5
41410489, 0.010353, 6
42083025, 0.010521, 1
39602917, 0.009901, 2
41045695, 0.010261, 3
42791997, 0.010698, 4
40486579, 0.010122, 5
41420391, 0.010355, 6
42085123, 0.010521, 1
39598028, 0.009900, 2
41054126, 0.010264, 3
42786216, 0.010697, 4
40531723, 0.010133, 5
41416566, 0.010354, 6
42146154, 0.010537, 1
39602972, 0.009901, 2
41054948, 0.010264, 3
42903240, 0.010726, 4
40493809, 0.010123, 5
41400987, 0.010350, 6
42088271, 0.010522, 1
39598643, 0.009900, 2
41057899, 0.010264, 3
42777689, 0.010694, 4
40523126, 0.010131, 5
41428304, 0.010357, 6
42083458, 0.010521, 1
39602434, 0.009901, 2
41052443, 0.010263, 3
42792544, 0.010698, 4
40489150, 0.010122, 5
41420542, 0.010355, 6
42136904, 0.010534, 1
39597978, 0.009899, 2
41236904, 0.010309, 3
42857415, 0.010714, 4
40589751, 0.010147, 5
41500757, 0.010375, 6
42104406, 0.010526, 1
39792305, 0.009948, 2
41053373, 0.010263, 3
42786018, 0.010697, 4
40524058, 0.010131, 5
41415621, 0.010354, 6
42088954, 0.010522, 1
39598803, 0.009900, 2
41058495, 0.010265, 3
42781415, 0.010695, 4
40510655, 0.010128, 5
41404308, 0.010351, 6
42088859, 0.010522, 1
39601575, 0.009900, 2
41055489, 0.010264, 3
42850855, 0.010713, 4
40514203, 0.010129, 5
41414662, 0.010354, 6
42089576, 0.010522, 1
39639901, 0.009910, 2
41198840, 0.010300, 3
42776031, 0.010694, 4
40530019, 0.010133, 5
41413542, 0.010353, 6
42088397, 0.010522, 1
39619012, 0.009905, 2
41218714, 0.010305, 3
42864000, 0.010716, 4
40498582, 0.010125, 5
41431335, 0.010358, 6
42087086, 0.010522, 1
39596757, 0.009899, 2
41055240, 0.010264, 3
42774560, 0.010694, 4
40498557, 0.010125, 5
41433323, 0.010358, 6
42086366, 0.010522, 1
39596757, 0.009899, 2
41054280, 0.010264, 3
42800668, 0.010700, 4
40529523, 0.010132, 5
41412972, 0.010353, 6
42080874, 0.010520, 1
39602434, 0.009901, 2
41057514, 0.010264, 3
42780662, 0.010695, 4
40491335, 0.010123, 5
41405526, 0.010351, 6
42086059, 0.010522, 1
39597569, 0.009899, 2
41053662, 0.010263, 3
42786893, 0.010697, 4
40496028, 0.010124, 5
41419742, 0.010355, 6
42194332, 0.010549, 1
39602031, 0.009901, 2
41179133, 0.010295, 3
42779821, 0.010695, 4
40515384, 0.010129, 5
41415880, 0.010354, 6
42086412, 0.010522, 1
39597957, 0.009899, 2
41054779, 0.010264, 3
42780351, 0.010695, 4
40486659, 0.010122, 5
41416569, 0.010354, 6
42094941, 0.010524, 1
39600760, 0.009900, 2
41049428, 0.010262, 3
42782991, 0.010696, 4
40510015, 0.010128, 5
41426068, 0.010357, 6
42089809, 0.010522, 1
39641107, 0.009910, 2
41055080, 0.010264, 3
42864704, 0.010716, 4
40522532, 0.010131, 5
41407680, 0.010352, 6
42081403, 0.010520, 1
39609671, 0.009902, 2
41048649, 0.010262, 3
42781988, 0.010695, 4
40507378, 0.010127, 5
41417911, 0.010354, 6
42086997, 0.010522, 1
39596557, 0.009899, 2
41051975, 0.010263, 3
42864452, 0.010716, 4
40500929, 0.010125, 5
41414437, 0.010354, 6
42089443, 0.010522, 1
39628868, 0.009907, 2
41054628, 0.010264, 3
42934123, 0.010734, 4
40522911, 0.010131, 5
41417101, 0.010354, 6
42163760, 0.010541, 1
39599889, 0.009900, 2
41388135, 0.010347, 3
42780969, 0.010695, 4
40489049, 0.010122, 5
41421043, 0.010355, 6
42082538, 0.010521, 1
39604828, 0.009901, 2
41057502, 0.010264, 3
42785292, 0.010696, 4
40496772, 0.010124, 5
41405643, 0.010351, 6
42087139, 0.010522, 1
39597693, 0.009899, 2
41056865, 0.010264, 3
42781409, 0.010695, 4
40616834, 0.010154, 5
41427671, 0.010357, 6
42081480, 0.010520, 1
39604422, 0.009901, 2
41104184, 0.010276, 3
42866637, 0.010717, 4
40517366, 0.010129, 5
41415400, 0.010354, 6
42087615, 0.010522, 1
39598914, 0.009900, 2
41059043, 0.010265, 3
42779840, 0.010695, 4
40584123, 0.010146, 5
41401880, 0.010350, 6
42090145, 0.010523, 1
39601431, 0.009900, 2
41047812, 0.010262, 3
42790920, 0.010698, 4
40494341, 0.010124, 5
41421861, 0.010355, 6
42154037, 0.010539, 1
39598612, 0.009900, 2
41055249, 0.010264, 3
42776637, 0.010694, 4
40525354, 0.010131, 5
41406428, 0.010352, 6
42193693, 0.010548, 1
40009810, 0.010002, 2
41243557, 0.010311, 3
42788090, 0.010697, 4
40486889, 0.010122, 5
41421209, 0.010355, 6
42084852, 0.010521, 1
39595662, 0.009899, 2
41059160, 0.010265, 3
42779133, 0.010695, 4
40512877, 0.010128, 5
41418637, 0.010355, 6
42087292, 0.010522, 1
39652892, 0.009913, 2
41057056, 0.010264, 3
42783292, 0.010696, 4
40525178, 0.010131, 5
41420440, 0.010355, 6
42084849, 0.010521, 1
39602406, 0.009901, 2
41051619, 0.010263, 3
42776101, 0.010694, 4
40508468, 0.010127, 5
41413141, 0.010353, 6
42090634, 0.010523, 1
39597714, 0.009899, 2
41054105, 0.010264, 3
42941108, 0.010735, 4
40622384, 0.010156, 5
41418757, 0.010355, 6
42086499, 0.010522, 1
39602523, 0.009901, 2
41111963, 0.010278, 3
42782532, 0.010696, 4
40620184, 0.010155, 5
41411831, 0.010353, 6
42091006, 0.010523, 1
39597415, 0.009899, 2
41056880, 0.010264, 3
42784711, 0.010696, 4
40507502, 0.010127, 5
41425655, 0.010356, 6
42082031, 0.010521, 1
39604609, 0.009901, 2
41052089, 0.010263, 3
42782059, 0.010696, 4
40514354, 0.010129, 5
41396416, 0.010349, 6
42085357, 0.010521, 1
39597794, 0.009899, 2
41092206, 0.010273, 3
42796182, 0.010699, 4
40533449, 0.010133, 5
41472086, 0.010368, 6
42086960, 0.010522, 1
39749840, 0.009937, 2
41052213, 0.010263, 3
42977194, 0.010744, 4
40512307, 0.010128, 5
41425569, 0.010356, 6
42093920, 0.010523, 1
39597215, 0.009899, 2
41053456, 0.010263, 3
42782114, 0.010696, 4
40525578, 0.010131, 5
41422545, 0.010356, 6
42082175, 0.010521, 1
39603474, 0.009901, 2
41051696, 0.010263, 3
42781240, 0.010695, 4
40526908, 0.010132, 5
41458360, 0.010365, 6
42092738, 0.010523, 1
39599080, 0.009900, 2
41060295, 0.010265, 3
42938557, 0.010735, 4
40574511, 0.010144, 5
41407554, 0.010352, 6
42089230, 0.010522, 1
39601868, 0.009900, 2
41055050, 0.010264, 3
42783345, 0.010696, 4
40510893, 0.010128, 5
41487320, 0.010372, 6
42089733, 0.010522, 1
39597757, 0.009899, 2
41053252, 0.010263, 3
42778581, 0.010695, 4
40505467, 0.010126, 5
41400578, 0.010350, 6
42149849, 0.010537, 1
39610883, 0.009903, 2
41057400, 0.010264, 3
42786206, 0.010697, 4
40502948, 0.010126, 5
41525511, 0.010381, 6
42090529, 0.010523, 1
39597575, 0.009899, 2
41051397, 0.010263, 3
42777720, 0.010694, 4
40501225, 0.010125, 5
41406963, 0.010352, 6
42089089, 0.010522, 1
39691492, 0.009923, 2
41235634, 0.010309, 3
42782988, 0.010696, 4
40488096, 0.010122, 5
41405123, 0.010351, 6
42086031, 0.010522, 1
39597908, 0.009899, 2
41127945, 0.010282, 3
42778609, 0.010695, 4
40513508, 0.010128, 5
41414948, 0.010354, 6
42088877, 0.010522, 1
39610360, 0.009903, 2
41053680, 0.010263, 3
42782022, 0.010696, 4
40512747, 0.010128, 5
41428344, 0.010357, 6
42087265, 0.010522, 1
39598271, 0.009900, 2
41154932, 0.010289, 3
42779111, 0.010695, 4
40490160, 0.010123, 5
41398957, 0.010350, 6
42090074, 0.010523, 1
39598077, 0.009900, 2
41058898, 0.010265, 3
42848261, 0.010712, 4
40485653, 0.010121, 5
41505973, 0.010376, 6
42087391, 0.010522, 1
39603711, 0.009901, 2
41049508, 0.010262, 3
42778557, 0.010695, 4
40516710, 0.010129, 5
41406806, 0.010352, 6
42086705, 0.010522, 1
39598240, 0.009900, 2
41056114, 0.010264, 3
42791209, 0.010698, 4
40497714, 0.010124, 5
41515351, 0.010379, 6
42082221, 0.010521, 1
