clocks, time, loop_order
2297219, 0.000574, 2
2508502, 0.000627, 3
2432947, 0.000608, 4
2278123, 0.000570, 5
2579760, 0.000645, 6
2411025, 0.000603, 1
2294412, 0.000574, 2
2508360, 0.000627, 3
2466480, 0.000617, 4
2312477, 0.000578, 5
2507541, 0.000627, 6
2500277, 0.000625, 1
2295545, 0.000574, 2
2508104, 0.000627, 3
2434181, 0.000609, 4
2283757, 0.000571, 5
2454206, 0.000614, 6
2535732, 0.000634, 1
2297646, 0.000574, 2
2508843, 0.000627, 3
2432973, 0.000608, 4
2277720, 0.000569, 5
2454963, 0.000614, 6
2410806, 0.000603, 1
2385696, 0.000596, 2
2509372, 0.000627, 3
2432455, 0.000608, 4
2284077, 0.000571, 5
2454037, 0.000614, 6
2410923, 0.000603, 1
2300295, 0.000575, 2
2509037, 0.000627, 3
2433889, 0.000608, 4
2278126, 0.000570, 5
2455188, 0.000614, 6
2410926, 0.000603, 1
2294135, 0.000574, 2
2512729, 0.000628, 3
2433068, 0.000608, 4
2279336, 0.000570, 5
2453991, 0.000613, 6
2410868, 0.000603, 1
2297680, 0.000574, 2
2508151, 0.000627, 3
2445520, 0.000611, 4
2277452, 0.000569, 5
2453877, 0.000613, 6
2411219, 0.000603, 1
2295117, 0.000574, 2
2508237, 0.000627, 3
2465831, 0.000616, 4
2277855, 0.000569, 5
2454142, 0.000614, 6
2410757, 0.000603, 1
2295994, 0.000574, 2
2509314, 0.000627, 3
2432689, 0.000608, 4
2283803, 0.000571, 5
2456015, 0.000614, 6
2410683, 0.000603, 1
2296683, 0.000574, 2
2508634, 0.000627, 3
2466806, 0.000617, 4
2311277, 0.000578, 5
2461794, 0.000615, 6
2411089, 0.000603, 1
2300268, 0.000575, 2
2509102, 0.000627, 3
2466634, 0.000617, 4
2316655, 0.000579, 5
2459920, 0.000615, 6
2411277, 0.000603, 1
2295277, 0.000574, 2
2508474, 0.000627, 3
2467123, 0.000617, 4
2312375, 0.000578, 5
2453465, 0.000613, 6
2415034, 0.000604, 1
2296302, 0.000574, 2
2508293, 0.000627, 3
2432157, 0.000608, 4
2278360, 0.000570, 5
2453954, 0.000613, 6
2410677, 0.000603, 1
2304545, 0.000576, 2
2508016, 0.000627, 3
2432495, 0.000608, 4
2277889, 0.000569, 5
2454656, 0.000614, 6
2410628, 0.000603, 1
2300354, 0.000575, 2
2508797, 0.000627, 3
2432501, 0.000608, 4
