clocks, time
9340489, 0.002335
8666406, 0.002167
8791520, 0.002198
8659711, 0.002165
8748536, 0.002187
8656840, 0.002164
8755194, 0.002189
8657926, 0.002164
8668969, 0.002167
8664419, 0.002166
8660751, 0.002165
8669858, 0.002167
8658689, 0.002165
8662874, 0.002166
8661175, 0.002165
8665400, 0.002166
8660972, 0.002165
8789788, 0.002197
8658656, 0.002165
8663163, 0.002166
8662612, 0.002166
8658150, 0.002165
8747003, 0.002187
8655095, 0.002164
8660070, 0.002165
8654862, 0.002164
8661400, 0.002165
8654766, 0.002164
8661031, 0.002165
8654145, 0.002164
8659206, 0.002165
8702129, 0.002176
8665431, 0.002166
8838920, 0.002210
8660892, 0.002165
8661699, 0.002165
8660225, 0.002165
8663147, 0.002166
8658587, 0.002165
8663154, 0.002166
8659221, 0.002165
8669237, 0.002167
8659868, 0.002165
8666831, 0.002167
8661991, 0.002165
8658394, 0.002165
8663203, 0.002166
8661102, 0.002165
8664157, 0.002166
8659412, 0.002165
8663493, 0.002166
8660422, 0.002165
8663449, 0.002166
8661299, 0.002165
8663382, 0.002166
8664689, 0.002166
8668939, 0.002167
8661609, 0.002165
8657326, 0.002164
8683037, 0.002171
8660144, 0.002165
8661274, 0.002165
8657923, 0.002164
8663105, 0.002166
8660646, 0.002165
8662403, 0.002166
8658400, 0.002165
8744037, 0.002186
8738933, 0.002185
8662480, 0.002166
8661634, 0.002165
8660203, 0.002165
8663803, 0.002166
8660815, 0.002165
8664219, 0.002166
8659766, 0.002165
8661729, 0.002165
8659250, 0.002165
8665388, 0.002166
8659255, 0.002165
8665289, 0.002166
8661889, 0.002165
8659270, 0.002165
8662689, 0.002166
8659535, 0.002165
8662065, 0.002166
8660579, 0.002165
8662012, 0.002166
8659517, 0.002165
8665480, 0.002166
8656769, 0.002164
8665911, 0.002166
8744382, 0.002186
8659083, 0.002165
8665434, 0.002166
8658849, 0.002165
8659631, 0.002165
8660391, 0.002165
8664320, 0.002166
8659459, 0.002165
8662539, 0.002166
8658923, 0.002165
8665188, 0.002166
8659877, 0.002165
8663096, 0.002166
8661413, 0.002165
8656406, 0.002164
8663714, 0.002166
