clocks, time, loop_order
8728302, 0.002182, 1
8601674, 0.002151, 2
8590403, 0.002148, 3
8792582, 0.002198, 4
8654806, 0.002163, 5
8498575, 0.002125, 6
8730277, 0.002182, 1
8596111, 0.002149, 2
8590099, 0.002148, 3
8703302, 0.002176, 4
8585597, 0.002147, 5
8497588, 0.002125, 6
8731609, 0.002183, 1
8595240, 0.002149, 2
8668277, 0.002167, 3
8709948, 0.002178, 4
8581726, 0.002145, 5
8501812, 0.002125, 6
8725246, 0.002181, 1
8610394, 0.002153, 2
8583572, 0.002146, 3
8707680, 0.002177, 4
8579954, 0.002145, 5
8505464, 0.002127, 6
8726206, 0.002182, 1
8601652, 0.002150, 2
8582899, 0.002146, 3
8709532, 0.002177, 4
8583366, 0.002146, 5
8499889, 0.002125, 6
8732019, 0.002183, 1
8596046, 0.002149, 2
8587301, 0.002147, 3
8703769, 0.002176, 4
8586071, 0.002147, 5
8498520, 0.002125, 6
8731987, 0.002183, 1
8596206, 0.002149, 2
8588729, 0.002147, 3
8703477, 0.002176, 4
8586659, 0.002147, 5
8501769, 0.002126, 6
8725200, 0.002181, 1
8601351, 0.002150, 2
8584120, 0.002146, 3
8709458, 0.002177, 4
8580572, 0.002145, 5
8505554, 0.002127, 6
8728010, 0.002182, 1
8600157, 0.002150, 2
8583320, 0.002146, 3
8787689, 0.002197, 4
8580594, 0.002145, 5
8505006, 0.002126, 6
8736594, 0.002184, 1
8595698, 0.002149, 2
8586997, 0.002147, 3
8703176, 0.002175, 4
8587551, 0.002147, 5
8497739, 0.002124, 6
8731363, 0.002183, 1
8595539, 0.002149, 2
8588585, 0.002147, 3
8703597, 0.002176, 4
8589194, 0.002147, 5
8497769, 0.002124, 6
8732775, 0.002183, 1
8598508, 0.002150, 2
8584360, 0.002146, 3
8709520, 0.002177, 4
8580954, 0.002145, 5
8626963, 0.002157, 6
8726618, 0.002181, 1
8604077, 0.002150, 2
8584526, 0.002146, 3
8708459, 0.002177, 4
8598400, 0.002150, 5
8504997, 0.002126, 6
8846785, 0.002211, 1
8596154, 0.002149, 2
8588963, 0.002148, 3
8703618, 0.002176, 4
8599317, 0.002150, 5
8499581, 0.002125, 6
8732994, 0.002183, 1
8595566, 0.002148, 2
8589634, 0.002147, 3
8703477, 0.002176, 4
8584868, 0.002146, 5
8497576, 0.002124, 6
8731686, 0.002183, 1
8600892, 0.002150, 2
8584459, 0.002146, 3
8707738, 0.002177, 4
8580018, 0.002145, 5
8502732, 0.002126, 6
8728240, 0.002182, 1
8615754, 0.002154, 2
8584520, 0.002147, 3
8711028, 0.002178, 4
8581446, 0.002145, 5
8502754, 0.002126, 6
8726071, 0.002181, 1
8605009, 0.002151, 2
8588391, 0.002147, 3
8703129, 0.002176, 4
8583504, 0.002146, 5
8498689, 0.002124, 6
8730397, 0.002182, 1
8595274, 0.002148, 2
8588360, 0.002147, 3
8703582, 0.002176, 4
8787332, 0.002196, 5
8638662, 0.002160, 6
8736649, 0.002184, 1
8597720, 0.002149, 2
8588818, 0.002148, 3
8791065, 0.002198, 4
8579584, 0.002145, 5
8525665, 0.002131, 6
8726966, 0.002181, 1
8600775, 0.002150, 2
8583111, 0.002146, 3
8890363, 0.002223, 4
8581012, 0.002145, 5
8859499, 0.002215, 6
8781089, 0.002195, 1
8624456, 0.002156, 2
8588717, 0.002147, 3
8703680, 0.002176, 4
8585006, 0.002146, 5
8498671, 0.002125, 6
8735443, 0.002184, 1
8597594, 0.002149, 2
8589597, 0.002148, 3
8704480, 0.002176, 4
8585902, 0.002146, 5
8497360, 0.002124, 6
8733815, 0.002184, 1
8597689, 0.002150, 2
8597529, 0.002149, 3
8707920, 0.002177, 4
8578976, 0.002145, 5
8504191, 0.002126, 6
8727129, 0.002182, 1
8600185, 0.002150, 2
8582769, 0.002146, 3
8757194, 0.002189, 4
8581151, 0.002146, 5
8506443, 0.002127, 6
8727221, 0.002182, 1
8600105, 0.002150, 2
8582381, 0.002145, 3
8707689, 0.002177, 4
8585501, 0.002146, 5
8501295, 0.002125, 6
8731369, 0.002182, 1
8594760, 0.002149, 2
8588028, 0.002147, 3
8701846, 0.002176, 4
8585292, 0.002146, 5
8498000, 0.002124, 6
8732843, 0.002183, 1
8595489, 0.002149, 2
8591234, 0.002147, 3
8703609, 0.002176, 4
8586701, 0.002147, 5
8503351, 0.002126, 6
8727415, 0.002182, 1
8600588, 0.002150, 2
8583222, 0.002146, 3
8708699, 0.002178, 4
8579948, 0.002145, 5
8502579, 0.002126, 6
8729794, 0.002183, 1
8599914, 0.002150, 2
8582529, 0.002145, 3
8710231, 0.002177, 4
8582071, 0.002145, 5
8506640, 0.002126, 6
8731945, 0.002183, 1
8595590, 0.002149, 2
8591769, 0.002148, 3
