clocks, time, loop_order
1023322, 0.000465, 1
946, 0.000001, 2
962, 0.000000, 3
948, 0.000000, 4
926, 0.000001, 5
938, 0.000001, 6
922, 0.000000, 1
906, 0.000000, 2
884, 0.000000, 3
888, 0.000000, 4
902, 0.000000, 5
886, 0.000000, 6
900, 0.000000, 1
904, 0.000000, 2
882, 0.000000, 3
904, 0.000001, 4
886, 0.000001, 5
904, 0.000000, 6
900, 0.000000, 1
878, 0.000000, 2
982, 0.000000, 3
884, 0.000000, 4
912, 0.000000, 5
984, 0.000000, 6
1020, 0.000000, 1
882, 0.000000, 2
892, 0.000000, 3
890, 0.000000, 4
882, 0.000000, 5
890, 0.000000, 6
896, 0.000000, 1
882, 0.000001, 2
902, 0.000001, 3
890, 0.000000, 4
884, 0.000000, 5
902, 0.000000, 6
902, 0.000000, 1
900, 0.000000, 2
898, 0.000000, 3
890, 0.000000, 4
884, 0.000000, 5
894, 0.000000, 6
900, 0.000000, 1
884, 0.000000, 2
888, 0.000000, 3
880, 0.000000, 4
896, 0.000000, 5
906, 0.000001, 6
902, 0.000001, 1
878, 0.000000, 2
894, 0.000000, 3
880, 0.000000, 4
890, 0.000000, 5
888, 0.000000, 6
906, 0.000000, 1
882, 0.000000, 2
894, 0.000000, 3
886, 0.000000, 4
880, 0.000000, 5
886, 0.000000, 6
902, 0.000000, 1
894, 0.000000, 2
890, 0.000000, 3
894, 0.000000, 4
884, 0.000000, 5
888, 0.000000, 6
918, 0.000001, 1
882, 0.000001, 2
894, 0.000000, 3
886, 0.000000, 4
888, 0.000000, 5
888, 0.000000, 6
892, 0.000000, 1
982, 0.000000, 2
892, 0.000000, 3
882, 0.000000, 4
920, 0.000000, 5
1014, 0.000000, 6
894, 0.000000, 1
884, 0.000000, 2
894, 0.000000, 3
894, 0.000000, 4
882, 0.000000, 5
890, 0.000000, 6
896, 0.000000, 1
892, 0.000000, 2
894, 0.000000, 3
886, 0.000000, 4
878, 0.000000, 5
894, 0.000000, 6
892, 0.000001, 1
880, 0.000001, 2
886, 0.000000, 3
880, 0.000000, 4
886, 0.000000, 5
888, 0.000000, 6
928, 0.000000, 1
888, 0.000000, 2
884, 0.000000, 3
902, 0.000000, 4
892, 0.000000, 5
880, 0.000000, 6
900, 0.000000, 1
890, 0.000000, 2
886, 0.000000, 3
884, 0.000000, 4
884, 0.000000, 5
894, 0.000000, 6
906, 0.000000, 1
884, 0.000000, 2
886, 0.000000, 3
890, 0.000000, 4
888, 0.000000, 5
892, 0.000001, 6
912, 0.000001, 1
886, 0.000000, 2
880, 0.000000, 3
888, 0.000000, 4
900, 0.000000, 5
892, 0.000000, 6
932, 0.000000, 1
892, 0.000000, 2
894, 0.000000, 3
882, 0.000000, 4
888, 0.000000, 5
882, 0.000000, 6
890, 0.000000, 1
892, 0.000000, 2
892, 0.000000, 3
894, 0.000000, 4
878, 0.000001, 5
936, 0.000001, 6
898, 0.000000, 1
882, 0.000000, 2
944, 0.000000, 3
988, 0.000001, 4
880, 0.000000, 5
886, 0.000000, 6
890, 0.000000, 1
882, 0.000000, 2
884, 0.000000, 3
876, 0.000000, 4
888, 0.000000, 5
890, 0.000000, 6
896, 0.000000, 1
884, 0.000000, 2
896, 0.000000, 3
878, 0.000000, 4
878, 0.000000, 5
894, 0.000000, 6
902, 0.000000, 1
882, 0.000000, 2
884, 0.000000, 3
882, 0.000000, 4
894, 0.000000, 5
900, 0.000000, 6
896, 0.000000, 1
892, 0.000000, 2
884, 0.000001, 3
886, 0.000001, 4
886, 0.000000, 5
902, 0.000000, 6
900, 0.000000, 1
890, 0.000000, 2
900, 0.000000, 3
890, 0.000000, 4
900, 0.000000, 5
888, 0.000000, 6
902, 0.000000, 1
880, 0.000000, 2
896, 0.000000, 3
894, 0.000000, 4
882, 0.000000, 5
890, 0.000000, 6
902, 0.000000, 1
886, 0.000001, 2
884, 0.000001, 3
880, 0.000000, 4
878, 0.000000, 5
902, 0.000000, 6
904, 0.000000, 1
896, 0.000000, 2
902, 0.000000, 3
884, 0.000000, 4
888, 0.000000, 5
896, 0.000000, 6
888, 0.000000, 1
884, 0.000000, 2
894, 0.000000, 3
884, 0.000000, 4
886, 0.000000, 5
882, 0.000000, 6
892, 0.000000, 1
882, 0.000000, 2
884, 0.000000, 3
888, 0.000001, 4
884, 0.000001, 5
898, 0.000000, 6
902, 0.000000, 1
1052, 0.000001, 2
910, 0.000000, 3
880, 0.000000, 4
882, 0.000000, 5
890, 0.000000, 6
904, 0.000000, 1
880, 0.000000, 2
890, 0.000000, 3
882, 0.000000, 4
884, 0.000000, 5
886, 0.000000, 6
900, 0.000000, 1
878, 0.000000, 2
884, 0.000000, 3
882, 0.000000, 4
880, 0.000000, 5
884, 0.000001, 6
900, 0.000001, 1
880, 0.000000, 2
888, 0.000000, 3
876, 0.000000, 4
880, 0.000000, 5
884, 0.000000, 6
900, 0.000000, 1
884, 0.000000, 2
884, 0.000000, 3
888, 0.000000, 4
880, 0.000000, 5
900, 0.000000, 6
908, 0.000000, 1
880, 0.000000, 2
896, 0.000000, 3
880, 0.000000, 4
884, 0.000000, 5
884, 0.000000, 6
904, 0.000000, 1
888, 0.000000, 2
882, 0.000000, 3
892, 0.000000, 4
876, 0.000000, 5
880, 0.000000, 6
950, 0.000000, 1
882, 0.000000, 2
894, 0.000000, 3
894, 0.000000, 4
938, 0.000000, 5
890, 0.000000, 6
902, 0.000000, 1
968, 0.000000, 2
1210, 0.000001, 3
892, 0.000000, 4
882, 0.000000, 5
892, 0.000000, 6
898, 0.000000, 1
882, 0.000001, 2
900, 0.000001, 3
882, 0.000000, 4
886, 0.000000, 5
896, 0.000000, 6
900, 0.000000, 1
882, 0.000000, 2
894, 0.000000, 3
882, 0.000000, 4
872, 0.000000, 5
880, 0.000000, 6
900, 0.000000, 1
882, 0.000000, 2
900, 0.000000, 3
886, 0.000000, 4
878, 0.000000, 5
896, 0.000000, 6
900, 0.000000, 1
882, 0.000001, 2
904, 0.000001, 3
890, 0.000000, 4
902, 0.000000, 5
904, 0.000000, 6
900, 0.000000, 1
882, 0.000000, 2
896, 0.000000, 3
882, 0.000000, 4
880, 0.000000, 5
886, 0.000000, 6
908, 0.000000, 1
892, 0.000000, 2
886, 0.000000, 3
892, 0.000000, 4
890, 0.000000, 5
882, 0.000000, 6
914, 0.000001, 1
880, 0.000001, 2
900, 0.000000, 3
892, 0.000000, 4
884, 0.000000, 5
890, 0.000000, 6
898, 0.000000, 1
882, 0.000000, 2
900, 0.000000, 3
880, 0.000000, 4
878, 0.000000, 5
896, 0.000000, 6
900, 0.000000, 1
880, 0.000000, 2
902, 0.000000, 3
882, 0.000000, 4
880, 0.000000, 5
886, 0.000000, 6
898, 0.000001, 1
888, 0.000001, 2
896, 0.000000, 3
880, 0.000000, 4
1036, 0.000000, 5
886, 0.000000, 6
892, 0.000000, 1
930, 0.000000, 2
1056, 0.000000, 3
872, 0.000000, 4
878, 0.000000, 5
886, 0.000000, 6
900, 0.000000, 1
884, 0.000000, 2
884, 0.000000, 3
884, 0.000000, 4
882, 0.000000, 5
882, 0.000000, 6
902, 0.000000, 1
880, 0.000000, 2
884, 0.000000, 3
894, 0.000000, 4
882, 0.000000, 5
886, 0.000000, 6
898, 0.000000, 1
898, 0.000000, 2
898, 0.000001, 3
890, 0.000001, 4
872, 0.000000, 5
894, 0.000000, 6
900, 0.000000, 1
888, 0.000000, 2
888, 0.000000, 3
878, 0.000000, 4
882, 0.000000, 5
896, 0.000000, 6
896, 0.000000, 1
880, 0.000000, 2
896, 0.000000, 3
896, 0.000000, 4
888, 0.000000, 5
898, 0.000000, 6
882, 0.000000, 1
892, 0.000000, 2
886, 0.000000, 3
882, 0.000000, 4
898, 0.000000, 5
900, 0.000001, 6
892, 0.000001, 1
882, 0.000000, 2
886, 0.000000, 3
886, 0.000000, 4
894, 0.000000, 5
888, 0.000000, 6
898, 0.000000, 1
880, 0.000000, 2
888, 0.000000, 3
880, 0.000000, 4
886, 0.000000, 5
884, 0.000000, 6
898, 0.000000, 1
882, 0.000000, 2
884, 0.000000, 3
882, 0.000000, 4
890, 0.000000, 5
888, 0.000000, 6
954, 0.000000, 1
878, 0.000001, 2
890, 0.000001, 3
3582, 0.000001, 4
884, 0.000001, 5
894, 0.000000, 6
892, 0.000000, 1
872, 0.000000, 2
886, 0.000000, 3
878, 0.000000, 4
884, 0.000000, 5
886, 0.000000, 6
898, 0.000000, 1
884, 0.000000, 2
886, 0.000000, 3
882, 0.000000, 4
882, 0.000000, 5
884, 0.000000, 6
898, 0.000000, 1
882, 0.000000, 2
898, 0.000000, 3
882, 0.000000, 4
