clocks, time
2208674, 0.000552
1679778, 0.000420
1467776, 0.000367
1430883, 0.000358
1408049, 0.000352
1400216, 0.000350
1379541, 0.000345
1460182, 0.000365
1362391, 0.000341
1356446, 0.000339
1351071, 0.000338
1345468, 0.000336
1396795, 0.000349
1360293, 0.000340
1354952, 0.000339
1352797, 0.000338
1346557, 0.000337
1343677, 0.000336
1339707, 0.000335
1338687, 0.000335
1334614, 0.000334
1332637, 0.000333
1331375, 0.000333
1327441, 0.000332
1342276, 0.000336
1326675, 0.000332
1323227, 0.000331
1324157, 0.000331
1320338, 0.000330
1323348, 0.000331
1319738, 0.000330
1319139, 0.000330
1317458, 0.000329
1315224, 0.000329
1316389, 0.000329
1316078, 0.000329
1336247, 0.000334
1313543, 0.000328
1314342, 0.000329
1314228, 0.000329
1312854, 0.000328
1313987, 0.000328
1314394, 0.000329
1313108, 0.000328
1312275, 0.000328
1311855, 0.000328
1311686, 0.000328
1312353, 0.000328
1354733, 0.000339
1283406, 0.000321
1283858, 0.000321
1282277, 0.000321
1282416, 0.000321
1282889, 0.000321
1282200, 0.000321
1283062, 0.000321
1283071, 0.000321
1282711, 0.000321
1282976, 0.000321
1283173, 0.000321
1283052, 0.000321
1367951, 0.000342
1283188, 0.000321
1282732, 0.000321
1282243, 0.000321
1282911, 0.000321
1283000, 0.000321
1283416, 0.000321
1282803, 0.000321
1283689, 0.000321
1283172, 0.000321
1368228, 0.000342
1281400, 0.000320
1370526, 0.000343
1282825, 0.000321
1281554, 0.000320
1283049, 0.000321
1282948, 0.000321
1283237, 0.000321
1283043, 0.000321
1282499, 0.000321
1283135, 0.000321
1283615, 0.000321
1402037, 0.000351
1283378, 0.000321
1381203, 0.000345
1282010, 0.000321
1282822, 0.000321
1282483, 0.000321
1283496, 0.000321
1282344, 0.000321
1283289, 0.000321
1283028, 0.000321
1283117, 0.000321
1283099, 0.000321
1377286, 0.000344
1283074, 0.000321
1282880, 0.000321
1371948, 0.000343
1282787, 0.000321
1282828, 0.000321
1284194, 0.000321
1283729, 0.000321
1283434, 0.000321
1282658, 0.000321
1282028, 0.000321
1283400, 0.000321
1282563, 0.000321
1283077, 0.000321
1283175, 0.000321
1374052, 0.000344
1283763, 0.000321
1282446, 0.000321
1283760, 0.000321
1283674, 0.000321
1282698, 0.000321
1284360, 0.000321
1282231, 0.000321
1359671, 0.000340
1282373, 0.000321
1282997, 0.000321
1282809, 0.000321
1402608, 0.000351
1400967, 0.000350
1283264, 0.000321
1283268, 0.000321
1283954, 0.000321
1284170, 0.000321
1282963, 0.000321
1283215, 0.000321
1282975, 0.000321
1282468, 0.000321
1282243, 0.000321
1283659, 0.000321
1282803, 0.000321
1373560, 0.000343
1282542, 0.000321
