clocks, time
8757711, 0.002188
300596, 0.000075
282658, 0.000071
282560, 0.000071
283653, 0.000070
285366, 0.000072
284110, 0.000071
378356, 0.000094
287010, 0.000072
294042, 0.000074
285834, 0.000071
283467, 0.000071
287730, 0.000072
289579, 0.000072
284501, 0.000071
286456, 0.000071
283683, 0.000071
286779, 0.000072
283485, 0.000070
284095, 0.000071
286729, 0.000072
285031, 0.000071
281262, 0.000070
283327, 0.000071
284314, 0.000071
284492, 0.000071
283555, 0.000070
285825, 0.000072
285855, 0.000072
283298, 0.000071
282942, 0.000070
283748, 0.000071
287076, 0.000071
282521, 0.000071
284987, 0.000071
284006, 0.000070
288966, 0.000072
284794, 0.000071
292048, 0.000073
286095, 0.000071
283911, 0.000071
373825, 0.000094
284166, 0.000071
282480, 0.000070
285099, 0.000072
283724, 0.000071
283114, 0.000071
286747, 0.000071
284118, 0.000071
286409, 0.000072
285618, 0.000071
284584, 0.000071
311923, 0.000078
292030, 0.000073
285677, 0.000071
284204, 0.000071
282139, 0.000070
285339, 0.000072
286794, 0.000072
283425, 0.000071
283194, 0.000071
285858, 0.000071
287245, 0.000072
284391, 0.000071
283463, 0.000071
289908, 0.000073
288717, 0.000073
283407, 0.000071
286447, 0.000072
283884, 0.000071
286062, 0.000071
282794, 0.000071
283514, 0.000071
287786, 0.000072
285443, 0.000071
287475, 0.000072
286184, 0.000071
285849, 0.000072
285997, 0.000072
282844, 0.000071
283034, 0.000071
282323, 0.000070
283236, 0.000070
283665, 0.000070
307932, 0.000076
286231, 0.000072
284192, 0.000071
284521, 0.000071
280776, 0.000070
286110, 0.000072
284785, 0.000071
309108, 0.000078
282412, 0.000070
285716, 0.000072
282557, 0.000071
284095, 0.000071
282557, 0.000071
284782, 0.000071
282038, 0.000070
284658, 0.000072
285950, 0.000072
283138, 0.000070
285784, 0.000071
283212, 0.000071
284717, 0.000072
284883, 0.000071
291712, 0.000072
287073, 0.000072
285585, 0.000071
285336, 0.000071
284438, 0.000071
289425, 0.000072
283559, 0.000071
285982, 0.000072
284433, 0.000071
285419, 0.000071
285073, 0.000072
284409, 0.000071
285464, 0.000071
285585, 0.000071
285229, 0.000071
285973, 0.000071
285248, 0.000072
286264, 0.000071
282187, 0.000070
284371, 0.000071
284131, 0.000071
285337, 0.000071
285701, 0.000071
285493, 0.000071
285251, 0.000071
282832, 0.000071
282856, 0.000071
286098, 0.000071
284963, 0.000071
285961, 0.000071
281884, 0.000070
284320, 0.000071
283289, 0.000071
285695, 0.000072
284655, 0.000071
283899, 0.000071
289348, 0.000072
339520, 0.000085
283609, 0.000070
283555, 0.000071
286770, 0.000072
282794, 0.000071
283463, 0.000071
287938, 0.000072
283585, 0.000071
282640, 0.000071
288427, 0.000072
285624, 0.000071
285170, 0.000071
286136, 0.000072
286984, 0.000072
284895, 0.000071
284388, 0.000071
281331, 0.000070
287075, 0.000072
226771, 0.000057
186216, 0.000047
186160, 0.000046
186208, 0.000046
188889, 0.000047
187277, 0.000047
189162, 0.000047
185615, 0.000047
187926, 0.000047
187621, 0.000047
185328, 0.000047
189520, 0.000047
186441, 0.000047
187008, 0.000047
186151, 0.000046
186678, 0.000046
189644, 0.000047
186391, 0.000046
191976, 0.000048
187979, 0.000047
187226, 0.000047
190711, 0.000047
187917, 0.000047
186679, 0.000047
185810, 0.000046
190311, 0.000048
186619, 0.000047
190092, 0.000048
185271, 0.000046
185526, 0.000046
187807, 0.000047
189259, 0.000047
186441, 0.000046
186000, 0.000046
186178, 0.000047
187627, 0.000047
183556, 0.000046
186136, 0.000047
189194, 0.000047
187846, 0.000047
190791, 0.000048
186903, 0.000046
186658, 0.000046
187322, 0.000047
188169, 0.000047
189025, 0.000048
187277, 0.000047
190877, 0.000048
186059, 0.000046
190430, 0.000047
185985, 0.000047
189396, 0.000047
188954, 0.000047
189733, 0.000048
189392, 0.000047
187360, 0.000047
187194, 0.000047
188924, 0.000047
186157, 0.000047
188655, 0.000047
186211, 0.000047
188059, 0.000047
188266, 0.000047
190492, 0.000048
189733, 0.000047
187603, 0.000047
188522, 0.000047
186649, 0.000047
185876, 0.000047
190080, 0.000048
185861, 0.000046
186142, 0.000047
190225, 0.000048
185884, 0.000046
187078, 0.000047
184376, 0.000046
188764, 0.000047
186492, 0.000047
186877, 0.000047
187849, 0.000047
186809, 0.000047
196302, 0.000049
187396, 0.000047
187449, 0.000047
186115, 0.000047
187327, 0.000047
188859, 0.000047
185828, 0.000046
188172, 0.000047
187591, 0.000047
188735, 0.000048
187230, 0.000047
187461, 0.000047
185911, 0.000046
187550, 0.000047
191301, 0.000048
190287, 0.000048
185766, 0.000046
187233, 0.000047
187493, 0.000047
188607, 0.000048
185958, 0.000046
187538, 0.000047
186130, 0.000046
188459, 0.000048
186785, 0.000046
187171, 0.000047
209152, 0.000053
190806, 0.000048
188225, 0.000047
188575, 0.000047
185988, 0.000046
188021, 0.000047
188471, 0.000047
186684, 0.000046
186243, 0.000046
188584, 0.000047
189428, 0.000047
191306, 0.000047
187730, 0.000047
187159, 0.000047
