clocks, time, loop_order
42773212, 0.010693, 1
40381406, 0.010095, 2
41468105, 0.010367, 3
43265052, 0.010816, 4
40751246, 0.010188, 5
41568821, 0.010392, 6
42325176, 0.010581, 1
39893653, 0.009973, 2
41438089, 0.010360, 3
43026144, 0.010757, 4
40681474, 0.010170, 5
41667274, 0.010417, 6
42363348, 0.010591, 1
39747514, 0.009937, 2
41056360, 0.010264, 3
42780643, 0.010695, 4
40510818, 0.010128, 5
41429850, 0.010357, 6
42087182, 0.010522, 1
39816750, 0.009954, 2
41052034, 0.010263, 3
42799462, 0.010700, 4
40497181, 0.010124, 5
41453689, 0.010363, 6
42096886, 0.010524, 1
39598062, 0.009900, 2
41055400, 0.010264, 3
42780464, 0.010695, 4
40488147, 0.010122, 5
41421526, 0.010355, 6
42089680, 0.010522, 1
39599769, 0.009900, 2
41058012, 0.010265, 3
42780006, 0.010695, 4
40495329, 0.010124, 5
41419428, 0.010355, 6
42078311, 0.010520, 1
39609904, 0.009902, 2
41068123, 0.010267, 3
42783618, 0.010696, 4
40491440, 0.010123, 5
41398274, 0.010350, 6
42152052, 0.010538, 1
39598412, 0.009900, 2
41054169, 0.010264, 3
42783000, 0.010696, 4
40499942, 0.010125, 5
41542283, 0.010386, 6
42080563, 0.010520, 1
39611046, 0.009903, 2
41053185, 0.010263, 3
42779018, 0.010695, 4
40511560, 0.010128, 5
41401096, 0.010350, 6
42086409, 0.010522, 1
39598360, 0.009900, 2
41060739, 0.010265, 3
42780745, 0.010695, 4
40496391, 0.010124, 5
41416222, 0.010354, 6
42134480, 0.010534, 1
39632117, 0.009908, 2
41051554, 0.010263, 3
42866178, 0.010717, 4
40507136, 0.010127, 5
41413246, 0.010353, 6
42089858, 0.010522, 1
39604730, 0.009901, 2
41114680, 0.010279, 3
42870345, 0.010718, 4
40694381, 0.010174, 5
41440274, 0.010360, 6
42083726, 0.010521, 1
39604046, 0.009901, 2
41060520, 0.010265, 3
42783120, 0.010696, 4
40503625, 0.010126, 5
41399425, 0.010350, 6
42168142, 0.010542, 1
39599061, 0.009900, 2
41058209, 0.010265, 3
42845643, 0.010711, 4
40515283, 0.010129, 5
41427877, 0.010357, 6
42081634, 0.010520, 1
39602514, 0.009901, 2
41058068, 0.010265, 3
42784901, 0.010696, 4
40508166, 0.010127, 5
41406628, 0.010352, 6
42088945, 0.010522, 1
39599440, 0.009900, 2
41053726, 0.010263, 3
42780970, 0.010695, 4
40503612, 0.010126, 5
41483769, 0.010371, 6
42082557, 0.010521, 1
39602957, 0.009901, 2
41055871, 0.010264, 3
42791803, 0.010698, 4
40592588, 0.010148, 5
41658388, 0.010415, 6
42326942, 0.010582, 1
39903258, 0.009976, 2
41421837, 0.010355, 3
42935668, 0.010734, 4
40745258, 0.010186, 5
41665997, 0.010416, 6
42239659, 0.010560, 1
39602536, 0.009901, 2
41052901, 0.010263, 3
42789080, 0.010697, 4
40522034, 0.010131, 5
41423406, 0.010356, 6
42083591, 0.010521, 1
39599622, 0.009900, 2
41119658, 0.010280, 3
42775573, 0.010694, 4
40508800, 0.010127, 5
41425354, 0.010356, 6
42151360, 0.010538, 1
39602874, 0.009901, 2
41055268, 0.010264, 3
42791575, 0.010698, 4
40526222, 0.010132, 5
41416381, 0.010354, 6
42085474, 0.010521, 1
39598253, 0.009900, 2
41059344, 0.010265, 3
42777489, 0.010694, 4
40499988, 0.010125, 5
41430052, 0.010358, 6
42087896, 0.010522, 1
39602778, 0.009901, 2
41050766, 0.010263, 3
42775412, 0.010694, 4
40511062, 0.010128, 5
41422271, 0.010356, 6
42085320, 0.010521, 1
39664375, 0.009916, 2
41054978, 0.010264, 3
42775305, 0.010694, 4
40505733, 0.010126, 5
41423145, 0.010356, 6
42163040, 0.010541, 1
39831093, 0.009958, 2
41294966, 0.010324, 3
43034855, 0.010759, 4
40668415, 0.010167, 5
41663142, 0.010416, 6
42331483, 0.010583, 1
39868495, 0.009967, 2
41417261, 0.010354, 3
42939570, 0.010735, 4
40740911, 0.010185, 5
41586566, 0.010397, 6
42321028, 0.010580, 1
39911775, 0.009978, 2
41106597, 0.010277, 3
42782625, 0.010696, 4
40633366, 0.010158, 5
41418403, 0.010355, 6
42087520, 0.010522, 1
39597179, 0.009899, 2
41257840, 0.010314, 3
42778071, 0.010695, 4
40521846, 0.010130, 5
41670991, 0.010418, 6
42090387, 0.010523, 1
39603474, 0.009901, 2
41047840, 0.010262, 3
42783938, 0.010696, 4
40502649, 0.010126, 5
41404406, 0.010351, 6
42169194, 0.010542, 1
39597477, 0.009899, 2
41054825, 0.010264, 3
42776237, 0.010694, 4
40515791, 0.010129, 5
41406474, 0.010352, 6
42085013, 0.010521, 1
39602517, 0.009901, 2
41049295, 0.010262, 3
42780093, 0.010695, 4
40511511, 0.010128, 5
