clocks, time
20416510, 0.005104
18566992, 0.004642
18041710, 0.004510
17861338, 0.004465
17971864, 0.004493
18052338, 0.004513
17998507, 0.004500
18149264, 0.004537
18206053, 0.004552
17775428, 0.004444
17867714, 0.004467
17870016, 0.004468
17769661, 0.004442
17766080, 0.004442
17868114, 0.004467
17752505, 0.004438
17742680, 0.004436
17877690, 0.004469
17802818, 0.004451
17914246, 0.004479
17767458, 0.004442
17802717, 0.004451
17890597, 0.004473
17949751, 0.004487
17770351, 0.004443
17786532, 0.004447
17890225, 0.004473
17954705, 0.004489
17982268, 0.004496
17962640, 0.004491
17919886, 0.004480
17974394, 0.004494
17954797, 0.004489
17885477, 0.004471
17956877, 0.004489
17762603, 0.004441
17767917, 0.004442
17944609, 0.004486
17928748, 0.004482
18010338, 0.004503
17798311, 0.004450
17779594, 0.004445
17846151, 0.004462
17880440, 0.004470
17934296, 0.004484
17925933, 0.004481
17789101, 0.004447
17943428, 0.004486
17872668, 0.004468
17827590, 0.004457
18072933, 0.004518
17793797, 0.004448
17740043, 0.004435
17826514, 0.004457
18026302, 0.004507
17908880, 0.004477
17813336, 0.004453
17923464, 0.004481
17773585, 0.004443
18059080, 0.004515
17855532, 0.004464
18039914, 0.004510
17833803, 0.004458
17760031, 0.004440
17742671, 0.004436
17914936, 0.004479
17836963, 0.004459
17877888, 0.004469
17965034, 0.004491
17752502, 0.004438
17732551, 0.004433
17885652, 0.004471
17841751, 0.004460
17797133, 0.004449
17859160, 0.004465
17889200, 0.004472
17772674, 0.004443
17741739, 0.004435
17961385, 0.004490
17805560, 0.004451
17838960, 0.004460
17902234, 0.004476
18100089, 0.004525
17818429, 0.004455
17863807, 0.004466
17948234, 0.004487
17839068, 0.004460
17986299, 0.004497
17876314, 0.004469
18029449, 0.004507
17857111, 0.004464
17896513, 0.004474
17974611, 0.004494
17850654, 0.004463
17956181, 0.004489
17960194, 0.004490
17756997, 0.004439
17762031, 0.004441
17780748, 0.004445
17927086, 0.004482
17771532, 0.004443
17877092, 0.004469
17757840, 0.004439
17856126, 0.004464
17764123, 0.004441
17854560, 0.004464
17986206, 0.004497
17796012, 0.004449
18026846, 0.004507
17798612, 0.004450
17831449, 0.004458
17859523, 0.004465
17864083, 0.004466
17776843, 0.004444
17859179, 0.004465
17790067, 0.004448
18164982, 0.004541
17872237, 0.004468
17874095, 0.004469
17755489, 0.004439
17887302, 0.004472
17803240, 0.004451
17902369, 0.004476
17935671, 0.004484
17777169, 0.004444
17787852, 0.004447
17781092, 0.004445
17868840, 0.004467
17763655, 0.004441
17917748, 0.004479
17847926, 0.004462
17748674, 0.004437
17983105, 0.004496
18064692, 0.004516
17766394, 0.004442
17853209, 0.004463
17791997, 0.004448
17875089, 0.004469
17854173, 0.004464
17772003, 0.004443
17868994, 0.004467
17929947, 0.004482
17874391, 0.004469
17958037, 0.004490
17988398, 0.004497
17886666, 0.004472
18011403, 0.004503
17790003, 0.004448
18017379, 0.004504
17934898, 0.004484
17911699, 0.004478
17841334, 0.004460
17857999, 0.004464
17992655, 0.004498
17775351, 0.004444
17988046, 0.004497
17973071, 0.004493
17882754, 0.004471
18055345, 0.004514
17826284, 0.004457
18127671, 0.004532
17866917, 0.004467
17783843, 0.004446
17891809, 0.004473
17751886, 0.004438
17775957, 0.004444
17763099, 0.004441
17768320, 0.004442
17912068, 0.004478
18141440, 0.004535
17852930, 0.004463
18014120, 0.004504
17874003, 0.004469
18010339, 0.004503
17980640, 0.004495
17850893, 0.004463
17948289, 0.004487
17768031, 0.004442
17769240, 0.004442
18010938, 0.004503
17854790, 0.004464
17928923, 0.004482
17916256, 0.004479
17865274, 0.004466
18044000, 0.004511
17768357, 0.004442
17842086, 0.004461
17778360, 0.004445
17857403, 0.004464
17853099, 0.004463
17927554, 0.004482
17834606, 0.004459
17915797, 0.004479
17909314, 0.004477
17912926, 0.004478
17790431, 0.004448
17939653, 0.004485
17956252, 0.004489
17863757, 0.004466
17885591, 0.004471
17862372, 0.004466
17992117, 0.004498
17857019, 0.004464
17848654, 0.004462
17761369, 0.004440
17749086, 0.004437
17853766, 0.004463
17954299, 0.004489
17859123, 0.004465
17981523, 0.004495
17840857, 0.004460
17869724, 0.004467
17926191, 0.004482
17944018, 0.004486
17918154, 0.004480
17776812, 0.004444
17850000, 0.004463
17761264, 0.004440
17881434, 0.004470
17781181, 0.004445
17854446, 0.004464
17836280, 0.004459
17843243, 0.004461
17731418, 0.004433
17866569, 0.004467
17759643, 0.004440
17839939, 0.004460
17866028, 0.004467
17967520, 0.004492
17913557, 0.004478
17770843, 0.004443
17766895, 0.004442
17996246, 0.004499
17846259, 0.004462
17744760, 0.004436
17797132, 0.004449
17792381, 0.004448
17763932, 0.004441
18076742, 0.004519
17763191, 0.004441
17764123, 0.004441
17780837, 0.004445
17800939, 0.004450
17988788, 0.004497
17775773, 0.004444
17765945, 0.004441
17763151, 0.004441
17836674, 0.004459
17758775, 0.004440
17934185, 0.004484
