clocks, time
375200744, 0.093800
336464942, 0.084116
336465129, 0.084116
336635351, 0.084159
336558038, 0.084140
336497022, 0.084124
336787638, 0.084197
374921322, 0.093730
339890403, 0.084973
336749220, 0.084187
336785891, 0.084196
336677938, 0.084169
336571093, 0.084143
336569867, 0.084142
336642702, 0.084161
336646196, 0.084162
336512113, 0.084128
336685822, 0.084171
336664720, 0.084166
355644844, 0.088911
340051117, 0.085013
336612922, 0.084153
336504797, 0.084126
336601657, 0.084150
336702397, 0.084176
336650919, 0.084163
336512898, 0.084128
336213008, 0.084053
336616773, 0.084154
336567819, 0.084142
336572815, 0.084143
336703241, 0.084176
336722794, 0.084181
336630649, 0.084158
336843716, 0.084211
336906418, 0.084227
336588065, 0.084147
336386957, 0.084097
336736148, 0.084184
336667185, 0.084167
336817209, 0.084204
336591890, 0.084148
336492255, 0.084123
336792513, 0.084198
336875508, 0.084219
336409866, 0.084102
336575988, 0.084144
337072693, 0.084268
336444175, 0.084111
336571123, 0.084143
