clocks, time, loop_order
43940439, 0.010985, 1
40179689, 0.010045, 2
41267511, 0.010317, 3
42788742, 0.010697, 4
40390975, 0.010098, 5
41423258, 0.010356, 6
42086831, 0.010522, 1
39599280, 0.009900, 2
41255581, 0.010314, 3
42793366, 0.010698, 4
40492480, 0.010123, 5
41413609, 0.010353, 6
42096526, 0.010524, 1
39598536, 0.009900, 2
41051234, 0.010263, 3
42787373, 0.010697, 4
40499157, 0.010125, 5
41568200, 0.010392, 6
42079738, 0.010520, 1
39752889, 0.009938, 2
41055240, 0.010264, 3
42778228, 0.010695, 4
40500760, 0.010125, 5
41564498, 0.010391, 6
42089027, 0.010522, 1
39612360, 0.009903, 2
41086019, 0.010272, 3
42787329, 0.010697, 4
40490025, 0.010123, 5
41502391, 0.010376, 6
42079637, 0.010520, 1
39865271, 0.009966, 2
41197314, 0.010299, 3
42782714, 0.010696, 4
40497139, 0.010124, 5
41391428, 0.010348, 6
42085901, 0.010521, 1
39605003, 0.009901, 2
41053563, 0.010263, 3
42789800, 0.010697, 4
40494738, 0.010124, 5
41489145, 0.010372, 6
42082499, 0.010521, 1
39604425, 0.009901, 2
41052403, 0.010263, 3
42790566, 0.010698, 4
40499218, 0.010125, 5
41417883, 0.010354, 6
42088416, 0.010522, 1
39751308, 0.009938, 2
41054120, 0.010264, 3
42786846, 0.010697, 4
40501231, 0.010125, 5
41564172, 0.010391, 6
42084898, 0.010521, 1
39603573, 0.009901, 2
41331111, 0.010333, 3
42803871, 0.010701, 4
40499502, 0.010125, 5
41417105, 0.010354, 6
42085037, 0.010521, 1
39808098, 0.009952, 2
41062329, 0.010266, 3
42789606, 0.010697, 4
40492769, 0.010123, 5
41427446, 0.010357, 6
42082102, 0.010521, 1
39603732, 0.009901, 2
41049058, 0.010262, 3
42938597, 0.010735, 4
40500267, 0.010125, 5
41402095, 0.010351, 6
42089206, 0.010522, 1
39599936, 0.009900, 2
41061185, 0.010265, 3
42787227, 0.010697, 4
40496532, 0.010124, 5
41425301, 0.010356, 6
42082151, 0.010521, 1
39603191, 0.009901, 2
41046582, 0.010262, 3
42787834, 0.010697, 4
40500523, 0.010125, 5
41397098, 0.010349, 6
42086136, 0.010522, 1
39600545, 0.009900, 2
41060095, 0.010265, 3
42792117, 0.010698, 4
40492314, 0.010123, 5
41406289, 0.010352, 6
42076458, 0.010519, 1
39604046, 0.009901, 2
41051080, 0.010263, 3
42787496, 0.010697, 4
40498781, 0.010125, 5
41405810, 0.010351, 6
42081874, 0.010520, 1
39597969, 0.009899, 2
41057265, 0.010264, 3
42788901, 0.010697, 4
40495317, 0.010124, 5
41420806, 0.010355, 6
42084846, 0.010521, 1
39602541, 0.009901, 2
41047280, 0.010262, 3
42873363, 0.010718, 4
40499606, 0.010125, 5
41431271, 0.010358, 6
42094357, 0.010524, 1
39599631, 0.009900, 2
41051880, 0.010263, 3
42786015, 0.010697, 4
40503917, 0.010126, 5
41400295, 0.010350, 6
42190914, 0.010548, 1
39602538, 0.009901, 2
41053123, 0.010263, 3
42788197, 0.010697, 4
40493837, 0.010123, 5
41404856, 0.010351, 6
42085982, 0.010521, 1
39607129, 0.009902, 2
41203877, 0.010301, 3
42796055, 0.010699, 4
40588908, 0.010147, 5
41414256, 0.010354, 6
42169055, 0.010542, 1
39646562, 0.009912, 2
41590772, 0.010398, 3
42786268, 0.010697, 4
40496834, 0.010124, 5
41417342, 0.010354, 6
42085132, 0.010521, 1
39599326, 0.009900, 2
41086372, 0.010272, 3
42860981, 0.010715, 4
40754348, 0.010189, 5
41502440, 0.010376, 6
42179591, 0.010545, 1
39603219, 0.009901, 2
41047538, 0.010262, 3
42866344, 0.010717, 4
40492409, 0.010123, 5
41410105, 0.010353, 6
42081154, 0.010520, 1
39601723, 0.009900, 2
41194677, 0.010299, 3
42785428, 0.010696, 4
40493480, 0.010123, 5
41412046, 0.010353, 6
42088363, 0.010522, 1
39599742, 0.009900, 2
41054766, 0.010264, 3
43053637, 0.010763, 4
40499908, 0.010125, 5
41409988, 0.010352, 6
42078729, 0.010520, 1
39602923, 0.009901, 2
41242139, 0.010311, 3
42782502, 0.010696, 4
40579145, 0.010145, 5
41427975, 0.010357, 6
42085760, 0.010521, 1
39597114, 0.009899, 2
41053006, 0.010263, 3
42787255, 0.010697, 4
40490545, 0.010123, 5
41404391, 0.010351, 6
42081566, 0.010520, 1
39981652, 0.009995, 2
43335477, 0.010834, 3
43732803, 0.010933, 4
40873895, 0.010218, 5
41731502, 0.010433, 6
42407621, 0.010602, 1
40035185, 0.010009, 2
41313326, 0.010328, 3
43027172, 0.010757, 4
40654889, 0.010164, 5
41654834, 0.010414, 6
42331739, 0.010583, 1
39905277, 0.009976, 2
41056019, 0.010264, 3
42785664, 0.010696, 4
40496219, 0.010124, 5
41411911, 0.010353, 6
42088231, 0.010522, 1
39602987, 0.009901, 2
41049258, 0.010262, 3
42787351, 0.010697, 4
40495794, 0.010124, 5
41427258, 0.010357, 6
42087461, 0.010522, 1
39597901, 0.009899, 2
41056816, 0.010264, 3
42784464, 0.010696, 4
40494868, 0.010124, 5
41410357, 0.010353, 6
42087345, 0.010522, 1
39602246, 0.009901, 2
41046135, 0.010262, 3
42876514, 0.010719, 4
40499895, 0.010125, 5
41427618, 0.010357, 6
42085062, 0.010521, 1
39598846, 0.009900, 2
41056027, 0.010264, 3
42786467, 0.010697, 4
40502040, 0.010126, 5
41411397, 0.010353, 6
42084890, 0.010521, 1
39609692, 0.009902, 2
41046206, 0.010262, 3
42786092, 0.010697, 4
40493148, 0.010123, 5
41413864, 0.010353, 6
42088218, 0.010522, 1
39601582, 0.009900, 2
41064071, 0.010266, 3
42801686, 0.010700, 4
40494249, 0.010124, 5
41414637, 0.010354, 6
42090019, 0.010523, 1
39846464, 0.009962, 2
41270089, 0.010318, 3
42788246, 0.010697, 4
40497693, 0.010124, 5
41418861, 0.010355, 6
42086477, 0.010522, 1
39596505, 0.009899, 2
41060502, 0.010265, 3
42783428, 0.010696, 4
40496179, 0.010124, 5
41404720, 0.010351, 6
42091465, 0.010523, 1
39747234, 0.009937, 2
41063772, 0.010266, 3
42786089, 0.010697, 4
40497585, 0.010124, 5
41398363, 0.010350, 6
42080360, 0.010520, 1
39602858, 0.009901, 2
41054172, 0.010264, 3
42985670, 0.010746, 4
41203551, 0.010301, 5
41630138, 0.010408, 6
42244991, 0.010561, 1
39597603, 0.009899, 2
41066336, 0.010267, 3
42788430, 0.010697, 4
40738862, 0.010185, 5
41415935, 0.010354, 6
42187333, 0.010547, 1
39602803, 0.009901, 2
41052886, 0.010263, 3
42939775, 0.010735, 4
40497643, 0.010124, 5
41403680, 0.010351, 6
42082584, 0.010521, 1
39599430, 0.009900, 2
41058529, 0.010265, 3
42791391, 0.010698, 4
40492791, 0.010123, 5
41429243, 0.010357, 6
42080803, 0.010520, 1
39603009, 0.009901, 2
41050705, 0.010263, 3
42786514, 0.010697, 4
40495197, 0.010124, 5
41396403, 0.010349, 6
42083538, 0.010521, 1
39598025, 0.009900, 2
41055394, 0.010264, 3
42792828, 0.010698, 4
40496292, 0.010124, 5
41410785, 0.010353, 6
42082686, 0.010521, 1
39604825, 0.009901, 2
41053492, 0.010263, 3
42785634, 0.010696, 4
40496920, 0.010124, 5
41429557, 0.010357, 6
42091785, 0.010523, 1
39598028, 0.009900, 2
41054997, 0.010264, 3
42793935, 0.010698, 4
40499006, 0.010125, 5
41412514, 0.010353, 6
42080926, 0.010520, 1
39603652, 0.009901, 2
41048994, 0.010262, 3
42790714, 0.010698, 4
40503898, 0.010126, 5
41414095, 0.010354, 6
42083982, 0.010521, 1
39599166, 0.009900, 2
41203394, 0.010301, 3
42783585, 0.010696, 4
40579816, 0.010145, 5
41410372, 0.010353, 6
42080772, 0.010520, 1
39602865, 0.009901, 2
41049022, 0.010262, 3
42867413, 0.010717, 4
40497064, 0.010124, 5
41407347, 0.010352, 6
42095021, 0.010524, 1
39600135, 0.009900, 2
41056462, 0.010264, 3
42782378, 0.010696, 4
40651015, 0.010163, 5
41409391, 0.010352, 6
42079529, 0.010520, 1
39844296, 0.009961, 2
41308695, 0.010327, 3
42962286, 0.010741, 4
40582086, 0.010146, 5
41571185, 0.010393, 6
42174717, 0.010544, 1
39598763, 0.009900, 2
41288778, 0.010322, 3
42864366, 0.010716, 4
40897581, 0.010224, 5
41409794, 0.010352, 6
42079840, 0.010520, 1
39603385, 0.009901, 2
41051308, 0.010263, 3
42784997, 0.010696, 4
40499985, 0.010125, 5
41407547, 0.010352, 6
42085105, 0.010521, 1
39597899, 0.009899, 2
41052336, 0.010263, 3
42782049, 0.010696, 4
40494385, 0.010124, 5
41417569, 0.010354, 6
42171006, 0.010543, 1
39604969, 0.009901, 2
41048655, 0.010262, 3
42869864, 0.010717, 4
40513477, 0.010128, 5
41415455, 0.010354, 6
42084575, 0.010521, 1
39597954, 0.009899, 2
41052563, 0.010263, 3
42781941, 0.010695, 4
40758412, 0.010190, 5
41958508, 0.010490, 6
42099099, 0.010525, 1
39603391, 0.009901, 2
41053603, 0.010263, 3
42786474, 0.010697, 4
40495834, 0.010124, 5
41424831, 0.010356, 6
42089126, 0.010522, 1
39599188, 0.009900, 2
41063249, 0.010266, 3
43989535, 0.010997, 4
42049446, 0.010512, 5
42974708, 0.010744, 6
43515821, 0.010879, 1
40964092, 0.010241, 2
42926861, 0.010732, 3
43190492, 0.010798, 4
40780569, 0.010195, 5
41555948, 0.010389, 6
42084190, 0.010521, 1
39604391, 0.009901, 2
41052538, 0.010263, 3
42785911, 0.010696, 4
40492963, 0.010123, 5
41403003, 0.010351, 6
42102732, 0.010526, 1
39599305, 0.009900, 2
41059314, 0.010265, 3
42782926, 0.010696, 4
40499237, 0.010125, 5
41398923, 0.010350, 6
42089357, 0.010522, 1
39603489, 0.009901, 2
41050597, 0.010263, 3
42785541, 0.010696, 4
40494378, 0.010124, 5
41407699, 0.010352, 6
42090031, 0.010523, 1
39605412, 0.009901, 2
41057335, 0.010264, 3
42780779, 0.010695, 4
40496031, 0.010124, 5
41420646, 0.010355, 6
42087080, 0.010522, 1
39598812, 0.009900, 2
41056896, 0.010264, 3
42788698, 0.010697, 4
40844387, 0.010211, 5
41510422, 0.010378, 6
42322991, 0.010581, 1
39732760, 0.009933, 2
41058523, 0.010265, 3
42782363, 0.010696, 4
40497782, 0.010124, 5
41401022, 0.010350, 6
42088314, 0.010522, 1
39598997, 0.009900, 2
41352720, 0.010338, 3
42790686, 0.010698, 4
40502185, 0.010126, 5
41408394, 0.010352, 6
42079806, 0.010520, 1
39604754, 0.009901, 2
41067206, 0.010267, 3
42783391, 0.010696, 4
40495080, 0.010124, 5
41513385, 0.010378, 6
42088634, 0.010522, 1
39597154, 0.009899, 2
41067292, 0.010267, 3
42877760, 0.010719, 4
40674794, 0.010169, 5
41501092, 0.010375, 6
42082391, 0.010521, 1
39603621, 0.009901, 2
41047080, 0.010262, 3
42794988, 0.010699, 4
40495837, 0.010124, 5
41408117, 0.010352, 6
42088184, 0.010522, 1
39599185, 0.009900, 2
41059908, 0.010265, 3
42867163, 0.010717, 4
40491400, 0.010123, 5
41421628, 0.010355, 6
42084295, 0.010521, 1
39602723, 0.009901, 2
41051450, 0.010263, 3
42794255, 0.010699, 4
40589889, 0.010147, 5
41408735, 0.010352, 6
42347539, 0.010587, 1
39888729, 0.009972, 2
41055071, 0.010264, 3
42787372, 0.010697, 4
40491920, 0.010123, 5
41595156, 0.010399, 6
42150751, 0.010538, 1
39605520, 0.009901, 2
41046822, 0.010262, 3
42793139, 0.010698, 4
40502671, 0.010126, 5
41575095, 0.010394, 6
42086625, 0.010522, 1
39659191, 0.009915, 2
41056877, 0.010264, 3
42790188, 0.010698, 4
40493776, 0.010123, 5
41424345, 0.010356, 6
42085305, 0.010521, 1
39605711, 0.009901, 2
41047840, 0.010262, 3
42787098, 0.010697, 4
40507849, 0.010127, 5
41415025, 0.010354, 6
42085170, 0.010521, 1
39598357, 0.009900, 2
41059366, 0.010265, 3
42783345, 0.010696, 4
40497252, 0.010124, 5
41401182, 0.010350, 6
42084151, 0.010521, 1
39604443, 0.009901, 2
41052978, 0.010263, 3
42784948, 0.010696, 4
40497495, 0.010124, 5
41407708, 0.010352, 6
42086351, 0.010522, 1
39599963, 0.009900, 2
41056132, 0.010264, 3
42782951, 0.010696, 4
40493658, 0.010123, 5
41425880, 0.010356, 6
42080726, 0.010520, 1
39603252, 0.009901, 2
41048138, 0.010262, 3
42787443, 0.010697, 4
40491960, 0.010123, 5
41434009, 0.010359, 6
42085000, 0.010521, 1
39600920, 0.009900, 2
41056643, 0.010264, 3
42780024, 0.010695, 4
40493834, 0.010123, 5
41408381, 0.010352, 6
42177295, 0.010544, 1
39747923, 0.009937, 2
41047157, 0.010262, 3
42789141, 0.010697, 4
40492264, 0.010123, 5
41408461, 0.010352, 6
42085973, 0.010521, 1
39599951, 0.009900, 2
41054292, 0.010264, 3
42786929, 0.010697, 4
40489643, 0.010122, 5
41417643, 0.010354, 6
42088594, 0.010522, 1
39607406, 0.009902, 2
41049425, 0.010262, 3
42788742, 0.010697, 4
40499010, 0.010125, 5
41506652, 0.010377, 6
42185818, 0.010546, 1
39718917, 0.009930, 2
41061117, 0.010265, 3
42866003, 0.010717, 4
40571809, 0.010143, 5
41905788, 0.010476, 6
42088237, 0.010522, 1
39603449, 0.009901, 2
41050779, 0.010263, 3
42784782, 0.010696, 4
40499535, 0.010125, 5
41423126, 0.010356, 6
42091529, 0.010523, 1
39602360, 0.009901, 2
41061283, 0.010265, 3
42783969, 0.010696, 4
40495480, 0.010124, 5
41408584, 0.010352, 6
42092203, 0.010523, 1
39598305, 0.009900, 2
41056308, 0.010264, 3
42787680, 0.010697, 4
40491806, 0.010123, 5
41493704, 0.010373, 6
42176434, 0.010544, 1
39604548, 0.009901, 2
41054646, 0.010264, 3
42786397, 0.010697, 4
40499923, 0.010125, 5
41405449, 0.010351, 6
42258366, 0.010565, 1
39652920, 0.009913, 2
41061902, 0.010265, 3
42786726, 0.010697, 4
40497030, 0.010124, 5
41407157, 0.010352, 6
42084536, 0.010521, 1
39610240, 0.009903, 2
41100108, 0.010275, 3
42790160, 0.010698, 4
40499929, 0.010125, 5
41401252, 0.010350, 6
42086520, 0.010522, 1
39598733, 0.009900, 2
41058268, 0.010265, 3
42794375, 0.010699, 4
40491382, 0.010123, 5
41420018, 0.010355, 6
42083643, 0.010521, 1
39608480, 0.009902, 2
41052440, 0.010263, 3
42787332, 0.010697, 4
40498157, 0.010125, 5
41412705, 0.010353, 6
42091369, 0.010523, 1
39597905, 0.009899, 2
41056557, 0.010264, 3
42784437, 0.010696, 4
40496606, 0.010124, 5
41403831, 0.010351, 6
42084215, 0.010521, 1
39603627, 0.009901, 2
41058188, 0.010265, 3
42788600, 0.010697, 4
40489341, 0.010122, 5
41420877, 0.010355, 6
42087031, 0.010522, 1
39598203, 0.009900, 2
41057763, 0.010264, 3
42781215, 0.010695, 4
40486957, 0.010122, 5
41417268, 0.010354, 6
42083262, 0.010521, 1
39601470, 0.009900, 2
41051083, 0.010263, 3
42795375, 0.010699, 4
40491757, 0.010123, 5
41418763, 0.010355, 6
42087535, 0.010522, 1
39776843, 0.009944, 2
41216237, 0.010304, 3
42782821, 0.010696, 4
40497544, 0.010124, 5
41417923, 0.010354, 6
42079252, 0.010520, 1
39602182, 0.009901, 2
41045739, 0.010261, 3
42794944, 0.010699, 4
40494822, 0.010124, 5
41416120, 0.010354, 6
42086680, 0.010522, 1
39598726, 0.009900, 2
41061203, 0.010265, 3
42780825, 0.010695, 4
40743517, 0.010186, 5
41580369, 0.010395, 6
42258096, 0.010565, 1
39633252, 0.009908, 2
41048431, 0.010262, 3
42793785, 0.010698, 4
40495652, 0.010124, 5
41504237, 0.010376, 6
42176440, 0.010544, 1
39599286, 0.009900, 2
41057951, 0.010264, 3
42781406, 0.010695, 4
40487422, 0.010122, 5
41405341, 0.010351, 6
42085354, 0.010521, 1
39603520, 0.009901, 2
41051640, 0.010263, 3
42790957, 0.010698, 4
40500219, 0.010125, 5
41515354, 0.010379, 6
42084569, 0.010521, 1
39619945, 0.009905, 2
41059135, 0.010265, 3
42783456, 0.010696, 4
40492089, 0.010123, 5
41419538, 0.010355, 6
42162680, 0.010541, 1
39598705, 0.009900, 2
41052689, 0.010263, 3
42786717, 0.010697, 4
40495840, 0.010124, 5
41419914, 0.010355, 6
42080671, 0.010520, 1
39907409, 0.009977, 2
41103283, 0.010276, 3
42782963, 0.010696, 4
40502286, 0.010126, 5
41409277, 0.010352, 6
42087597, 0.010522, 1
39596658, 0.009899, 2
41051806, 0.010263, 3
42784043, 0.010696, 4
40493846, 0.010123, 5
41418443, 0.010355, 6
42080855, 0.010520, 1
39605634, 0.009901, 2
41052517, 0.010263, 3
42789668, 0.010697, 4
40494157, 0.010124, 5
41411498, 0.010353, 6
42089816, 0.010522, 1
39974348, 0.009994, 2
41433021, 0.010358, 3
42787582, 0.010697, 4
40490615, 0.010123, 5
41424542, 0.010356, 6
42086231, 0.010522, 1
39602695, 0.009901, 2
41047898, 0.010262, 3
42785188, 0.010696, 4
40499243, 0.010125, 5
41399388, 0.010350, 6
42084898, 0.010521, 1
39597006, 0.009899, 2
41054655, 0.010264, 3
42785865, 0.010696, 4
40497576, 0.010124, 5
41404797, 0.010351, 6
42086071, 0.010522, 1
39604006, 0.009901, 2
41054452, 0.010264, 3
42791126, 0.010698, 4
40493883, 0.010123, 5
41415698, 0.010354, 6
42088510, 0.010522, 1
39599535, 0.009900, 2
41052683, 0.010263, 3
42780169, 0.010695, 4
40497501, 0.010124, 5
41430403, 0.010358, 6
42089837, 0.010522, 1
39602231, 0.009901, 2
41217910, 0.010304, 3
42868988, 0.010717, 4
40500680, 0.010125, 5
41412507, 0.010353, 6
42084834, 0.010521, 1
39597840, 0.009899, 2
41059665, 0.010265, 3
42785453, 0.010696, 4
40494818, 0.010124, 5
41428926, 0.010357, 6
42083729, 0.010521, 1
39608824, 0.009902, 2
41053769, 0.010263, 3
42787120, 0.010697, 4
40497951, 0.010124, 5
41412123, 0.010353, 6
42093345, 0.010523, 1
39652043, 0.009913, 2
41089191, 0.010272, 3
42783102, 0.010696, 4
40492286, 0.010123, 5
41397292, 0.010349, 6
42171104, 0.010543, 1
40331643, 0.010083, 2
41048840, 0.010262, 3
42789018, 0.010697, 4
40492591, 0.010123, 5
41398305, 0.010350, 6
42086640, 0.010522, 1
39598742, 0.009900, 2
41060382, 0.010265, 3
42781812, 0.010695, 4
40499757, 0.010125, 5
41415960, 0.010354, 6
42089016, 0.010522, 1
39601397, 0.009900, 2
41082277, 0.010271, 3
42789800, 0.010697, 4
40496292, 0.010124, 5
41415689, 0.010354, 6
42084963, 0.010521, 1
39750504, 0.009938, 2
41051277, 0.010263, 3
42785917, 0.010696, 4
40504754, 0.010126, 5
41409794, 0.010352, 6
42087945, 0.010522, 1
39956434, 0.009989, 2
41416283, 0.010354, 3
42909920, 0.010727, 4
40498668, 0.010125, 5
