clocks, time, loop_order
360995252, 0.090249, 1
330389658, 0.082597, 2
344874788, 0.086219, 3
346927224, 0.086732, 4
334256634, 0.083564, 5
337105387, 0.084276, 6
357607492, 0.089402, 1
330097077, 0.082524, 2
344596606, 0.086149, 3
347977991, 0.086994, 4
334975628, 0.083744, 5
337595696, 0.084399, 6
357221689, 0.089305, 1
330240191, 0.082560, 2
343882096, 0.085971, 3
346953523, 0.086738, 4
334496348, 0.083624, 5
337439791, 0.084360, 6
357471822, 0.089368, 1
329844415, 0.082461, 2
345079797, 0.086270, 3
347513317, 0.086878, 4
333980935, 0.083495, 5
337484532, 0.084371, 6
357095603, 0.089274, 1
330066849, 0.082517, 2
344406099, 0.086102, 3
346867120, 0.086717, 4
334034818, 0.083509, 5
337086255, 0.084272, 6
357712471, 0.089428, 1
329776428, 0.082444, 2
344476957, 0.086119, 3
347410979, 0.086853, 4
334071191, 0.083518, 5
336954231, 0.084239, 6
357143458, 0.089286, 1
330059773, 0.082515, 2
343251751, 0.085813, 3
347066477, 0.086767, 4
333813816, 0.083453, 5
337042431, 0.084261, 6
357206378, 0.089302, 1
329867307, 0.082467, 2
344527514, 0.086132, 3
346898554, 0.086725, 4
333864104, 0.083466, 5
336959837, 0.084240, 6
357222474, 0.089306, 1
329818757, 0.082455, 2
344072421, 0.086018, 3
347108692, 0.086777, 4
333887963, 0.083472, 5
337396139, 0.084349, 6
357139391, 0.089285, 1
329983465, 0.082496, 2
344040049, 0.086010, 3
347553763, 0.086888, 4
334234640, 0.083559, 5
336927133, 0.084232, 6
357205584, 0.089301, 1
329662557, 0.082416, 2
343613003, 0.085903, 3
347009865, 0.086752, 4
333810566, 0.083453, 5
337446782, 0.084362, 6
356963711, 0.089241, 1
329990335, 0.082498, 2
344642151, 0.086161, 3
347060686, 0.086765, 4
333981582, 0.083495, 5
336947566, 0.084237, 6
357172591, 0.089293, 1
330014215, 0.082504, 2
344864335, 0.086216, 3
347537037, 0.086884, 4
333977065, 0.083494, 5
337856538, 0.084464, 6
357500526, 0.089375, 1
329935400, 0.082484, 2
344771498, 0.086193, 3
346970569, 0.086743, 4
334537133, 0.083634, 5
342264692, 0.085566, 6
358723179, 0.089681, 1
330163837, 0.082541, 2
344532382, 0.086133, 3
346865738, 0.086716, 4
334030819, 0.083508, 5
337074480, 0.084269, 6
357345172, 0.089336, 1
331189994, 0.082797, 2
344223775, 0.086056, 3
347098181, 0.086775, 4
333828554, 0.083457, 5
337245576, 0.084311, 6
357178148, 0.089295, 1
330122624, 0.082531, 2
344632474, 0.086158, 3
347329449, 0.086832, 4
334951477, 0.083738, 5
337196136, 0.084299, 6
357340649, 0.089335, 1
330192003, 0.082548, 2
344624015, 0.086156, 3
347322692, 0.086831, 4
334032445, 0.083508, 5
341842262, 0.085461, 6
362173483, 0.090543, 1
329894846, 0.082474, 2
344481070, 0.086120, 3
347076187, 0.086769, 4
334246053, 0.083562, 5
336887935, 0.084222, 6
357602677, 0.089401, 1
330474062, 0.082619, 2
345019711, 0.086255, 3
347319683, 0.086830, 4
334073394, 0.083518, 5
337799535, 0.084450, 6
357105911, 0.089276, 1
330055058, 0.082514, 2
344492249, 0.086123, 3
347230901, 0.086808, 4
334291957, 0.083573, 5
336891732, 0.084223, 6
357589375, 0.089397, 1
329879311, 0.082470, 2
344494898, 0.086124, 3
347764339, 0.086941, 4
